Temp,Logg,Metal,Kzz,Files
1500.0,5.0,-0.5,0.0,AGSS09-Dusty_t1500_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1500.0,5.0,-0.0,0.0,AGSS09-Dusty_t1500_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1500.0,5.0,0.5,0.0,AGSS09-Dusty_t1500_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1500.0,5.5,-0.5,0.0,AGSS09-Dusty_t1500_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1500.0,5.5,-0.0,0.0,AGSS09-Dusty_t1500_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1500.0,5.5,0.5,0.0,AGSS09-Dusty_t1500_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,2.0,-0.5,0.0,AGSS09-Dusty_t1600_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,2.0,-0.0,0.0,AGSS09-Dusty_t1600_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,2.0,0.5,0.0,AGSS09-Dusty_t1600_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,2.5,-0.5,0.0,AGSS09-Dusty_t1600_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,2.5,-0.0,0.0,AGSS09-Dusty_t1600_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,2.5,0.5,0.0,AGSS09-Dusty_t1600_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,3.0,-0.5,0.0,AGSS09-Dusty_t1600_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,3.0,-0.0,0.0,AGSS09-Dusty_t1600_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,3.0,0.5,0.0,AGSS09-Dusty_t1600_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,3.5,-0.5,0.0,AGSS09-Dusty_t1600_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,3.5,-0.0,0.0,AGSS09-Dusty_t1600_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,3.5,0.5,0.0,AGSS09-Dusty_t1600_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,4.0,-0.5,0.0,AGSS09-Dusty_t1600_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,4.0,-0.0,0.0,AGSS09-Dusty_t1600_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,4.0,0.5,0.0,AGSS09-Dusty_t1600_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,4.5,-0.5,0.0,AGSS09-Dusty_t1600_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,4.5,-0.0,0.0,AGSS09-Dusty_t1600_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,4.5,0.5,0.0,AGSS09-Dusty_t1600_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,5.0,-0.5,0.0,AGSS09-Dusty_t1600_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,5.0,-0.0,0.0,AGSS09-Dusty_t1600_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,5.0,0.5,0.0,AGSS09-Dusty_t1600_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,5.5,-0.5,0.0,AGSS09-Dusty_t1600_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,5.5,-0.0,0.0,AGSS09-Dusty_t1600_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1600.0,5.5,0.5,0.0,AGSS09-Dusty_t1600_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,2.0,-0.5,0.0,AGSS09-Dusty_t1700_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,2.0,-0.0,0.0,AGSS09-Dusty_t1700_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,2.0,0.5,0.0,AGSS09-Dusty_t1700_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,2.5,-0.5,0.0,AGSS09-Dusty_t1700_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,2.5,-0.0,0.0,AGSS09-Dusty_t1700_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,2.5,0.5,0.0,AGSS09-Dusty_t1700_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,3.0,-0.5,0.0,AGSS09-Dusty_t1700_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,3.0,-0.0,0.0,AGSS09-Dusty_t1700_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,3.0,0.5,0.0,AGSS09-Dusty_t1700_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,3.5,-0.5,0.0,AGSS09-Dusty_t1700_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,3.5,-0.0,0.0,AGSS09-Dusty_t1700_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,3.5,0.5,0.0,AGSS09-Dusty_t1700_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,4.0,-0.5,0.0,AGSS09-Dusty_t1700_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,4.0,-0.0,0.0,AGSS09-Dusty_t1700_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,4.0,0.5,0.0,AGSS09-Dusty_t1700_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,4.5,-0.5,0.0,AGSS09-Dusty_t1700_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,4.5,-0.0,0.0,AGSS09-Dusty_t1700_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,4.5,0.5,0.0,AGSS09-Dusty_t1700_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,5.0,-0.5,0.0,AGSS09-Dusty_t1700_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,5.0,-0.0,0.0,AGSS09-Dusty_t1700_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,5.0,0.5,0.0,AGSS09-Dusty_t1700_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,5.5,-0.5,0.0,AGSS09-Dusty_t1700_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,5.5,-0.0,0.0,AGSS09-Dusty_t1700_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1700.0,5.5,0.5,0.0,AGSS09-Dusty_t1700_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,2.0,-0.5,0.0,AGSS09-Dusty_t1800_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,2.0,-0.0,0.0,AGSS09-Dusty_t1800_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,2.0,0.5,0.0,AGSS09-Dusty_t1800_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,2.5,-0.5,0.0,AGSS09-Dusty_t1800_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,2.5,-0.0,0.0,AGSS09-Dusty_t1800_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,2.5,0.5,0.0,AGSS09-Dusty_t1800_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,3.0,-0.5,0.0,AGSS09-Dusty_t1800_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,3.0,-0.0,0.0,AGSS09-Dusty_t1800_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,3.0,0.5,0.0,AGSS09-Dusty_t1800_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,3.5,-0.5,0.0,AGSS09-Dusty_t1800_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,3.5,-0.0,0.0,AGSS09-Dusty_t1800_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,3.5,0.5,0.0,AGSS09-Dusty_t1800_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,4.0,-0.5,0.0,AGSS09-Dusty_t1800_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,4.0,-0.0,0.0,AGSS09-Dusty_t1800_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,4.0,0.5,0.0,AGSS09-Dusty_t1800_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,4.5,-0.5,0.0,AGSS09-Dusty_t1800_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,4.5,-0.0,0.0,AGSS09-Dusty_t1800_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,4.5,0.5,0.0,AGSS09-Dusty_t1800_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,5.0,-0.5,0.0,AGSS09-Dusty_t1800_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,5.0,-0.0,0.0,AGSS09-Dusty_t1800_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,5.0,0.5,0.0,AGSS09-Dusty_t1800_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,5.5,-0.5,0.0,AGSS09-Dusty_t1800_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,5.5,-0.0,0.0,AGSS09-Dusty_t1800_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1800.0,5.5,0.5,0.0,AGSS09-Dusty_t1800_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,2.0,-0.5,0.0,AGSS09-Dusty_t1900_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,2.0,-0.0,0.0,AGSS09-Dusty_t1900_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,2.0,0.5,0.0,AGSS09-Dusty_t1900_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,2.5,-0.5,0.0,AGSS09-Dusty_t1900_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,2.5,-0.0,0.0,AGSS09-Dusty_t1900_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,2.5,0.5,0.0,AGSS09-Dusty_t1900_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,3.0,-0.5,0.0,AGSS09-Dusty_t1900_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,3.0,-0.0,0.0,AGSS09-Dusty_t1900_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,3.0,0.5,0.0,AGSS09-Dusty_t1900_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,3.5,-0.5,0.0,AGSS09-Dusty_t1900_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,3.5,-0.0,0.0,AGSS09-Dusty_t1900_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,3.5,0.5,0.0,AGSS09-Dusty_t1900_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,4.0,-0.5,0.0,AGSS09-Dusty_t1900_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,4.0,-0.0,0.0,AGSS09-Dusty_t1900_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,4.0,0.5,0.0,AGSS09-Dusty_t1900_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,4.5,-0.5,0.0,AGSS09-Dusty_t1900_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,4.5,-0.0,0.0,AGSS09-Dusty_t1900_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,4.5,0.5,0.0,AGSS09-Dusty_t1900_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,5.0,-0.5,0.0,AGSS09-Dusty_t1900_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,5.0,-0.0,0.0,AGSS09-Dusty_t1900_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,5.0,0.5,0.0,AGSS09-Dusty_t1900_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,5.5,-0.5,0.0,AGSS09-Dusty_t1900_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,5.5,-0.0,0.0,AGSS09-Dusty_t1900_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
1900.0,5.5,0.5,0.0,AGSS09-Dusty_t1900_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,2.0,-0.5,0.0,AGSS09-Dusty_t2000_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,2.0,-0.0,0.0,AGSS09-Dusty_t2000_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,2.0,0.5,0.0,AGSS09-Dusty_t2000_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,2.5,-0.5,0.0,AGSS09-Dusty_t2000_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,2.5,-0.0,0.0,AGSS09-Dusty_t2000_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,2.5,0.5,0.0,AGSS09-Dusty_t2000_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,3.0,-0.5,0.0,AGSS09-Dusty_t2000_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,3.0,-0.0,0.0,AGSS09-Dusty_t2000_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,3.0,0.5,0.0,AGSS09-Dusty_t2000_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,3.5,-0.5,0.0,AGSS09-Dusty_t2000_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,3.5,-0.0,0.0,AGSS09-Dusty_t2000_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,3.5,0.5,0.0,AGSS09-Dusty_t2000_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,4.0,-0.5,0.0,AGSS09-Dusty_t2000_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,4.0,-0.0,0.0,AGSS09-Dusty_t2000_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,4.0,0.5,0.0,AGSS09-Dusty_t2000_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,4.5,-0.5,0.0,AGSS09-Dusty_t2000_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,4.5,-0.0,0.0,AGSS09-Dusty_t2000_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,4.5,0.5,0.0,AGSS09-Dusty_t2000_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,5.0,-0.5,0.0,AGSS09-Dusty_t2000_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,5.0,-0.0,0.0,AGSS09-Dusty_t2000_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,5.0,0.5,0.0,AGSS09-Dusty_t2000_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,5.5,-0.5,0.0,AGSS09-Dusty_t2000_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,5.5,-0.0,0.0,AGSS09-Dusty_t2000_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2000.0,5.5,0.5,0.0,AGSS09-Dusty_t2000_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,2.0,-0.5,0.0,AGSS09-Dusty_t2100_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,2.0,-0.0,0.0,AGSS09-Dusty_t2100_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,2.0,0.5,0.0,AGSS09-Dusty_t2100_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,2.5,-0.5,0.0,AGSS09-Dusty_t2100_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,2.5,-0.0,0.0,AGSS09-Dusty_t2100_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,2.5,0.5,0.0,AGSS09-Dusty_t2100_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,3.0,-0.5,0.0,AGSS09-Dusty_t2100_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,3.0,-0.0,0.0,AGSS09-Dusty_t2100_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,3.0,0.5,0.0,AGSS09-Dusty_t2100_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,3.5,-0.5,0.0,AGSS09-Dusty_t2100_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,3.5,-0.0,0.0,AGSS09-Dusty_t2100_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,3.5,0.5,0.0,AGSS09-Dusty_t2100_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,4.0,-0.5,0.0,AGSS09-Dusty_t2100_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,4.0,-0.0,0.0,AGSS09-Dusty_t2100_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,4.0,0.5,0.0,AGSS09-Dusty_t2100_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,4.5,-0.5,0.0,AGSS09-Dusty_t2100_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,4.5,-0.0,0.0,AGSS09-Dusty_t2100_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,4.5,0.5,0.0,AGSS09-Dusty_t2100_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,5.0,-0.5,0.0,AGSS09-Dusty_t2100_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,5.0,-0.0,0.0,AGSS09-Dusty_t2100_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,5.0,0.5,0.0,AGSS09-Dusty_t2100_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,5.5,-0.5,0.0,AGSS09-Dusty_t2100_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,5.5,-0.0,0.0,AGSS09-Dusty_t2100_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2100.0,5.5,0.5,0.0,AGSS09-Dusty_t2100_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,2.0,-0.5,0.0,AGSS09-Dusty_t2200_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,2.0,-0.0,0.0,AGSS09-Dusty_t2200_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,2.0,0.5,0.0,AGSS09-Dusty_t2200_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,2.5,-0.5,0.0,AGSS09-Dusty_t2200_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,2.5,-0.0,0.0,AGSS09-Dusty_t2200_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,2.5,0.5,0.0,AGSS09-Dusty_t2200_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,3.0,-0.5,0.0,AGSS09-Dusty_t2200_g3.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,3.0,-0.0,0.0,AGSS09-Dusty_t2200_g3.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,3.0,0.5,0.0,AGSS09-Dusty_t2200_g3.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,3.5,-0.5,0.0,AGSS09-Dusty_t2200_g3.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,3.5,-0.0,0.0,AGSS09-Dusty_t2200_g3.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,3.5,0.5,0.0,AGSS09-Dusty_t2200_g3.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,4.0,-0.5,0.0,AGSS09-Dusty_t2200_g4.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,4.0,-0.0,0.0,AGSS09-Dusty_t2200_g4.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,4.0,0.5,0.0,AGSS09-Dusty_t2200_g4.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,4.5,-0.5,0.0,AGSS09-Dusty_t2200_g4.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,4.5,-0.0,0.0,AGSS09-Dusty_t2200_g4.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,4.5,0.5,0.0,AGSS09-Dusty_t2200_g4.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,5.0,-0.5,0.0,AGSS09-Dusty_t2200_g5.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,5.0,-0.0,0.0,AGSS09-Dusty_t2200_g5.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,5.0,0.5,0.0,AGSS09-Dusty_t2200_g5.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,5.5,-0.5,0.0,AGSS09-Dusty_t2200_g5.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,5.5,-0.0,0.0,AGSS09-Dusty_t2200_g5.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2200.0,5.5,0.5,0.0,AGSS09-Dusty_t2200_g5.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2300.0,2.0,-0.5,0.0,AGSS09-Dusty_t2300_g2.00_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2300.0,2.0,-0.0,0.0,AGSS09-Dusty_t2300_g2.00_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2300.0,2.0,0.5,0.0,AGSS09-Dusty_t2300_g2.00_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2300.0,2.5,-0.5,0.0,AGSS09-Dusty_t2300_g2.50_z-0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
2300.0,2.5,-0.0,0.0,AGSS09-Dusty_t2300_g2.50_z-0.00_Kzz0.0_OSIRIS-Kbb-RAW.txt
2300.0,2.5,0.5,0.0,AGSS09-Dusty_t2300_g2.50_z0.50_Kzz0.0_OSIRIS-Kbb-RAW.txt
